index,id,group_id,phase_id,trial_phase
1157,11,1,2,65
1158,11,1,2,66
1159,11,1,2,67
1160,11,1,2,68
1161,11,1,2,69
1162,11,1,2,70
1163,11,1,2,71
1164,11,1,2,72
1165,11,1,3,1
1166,11,1,3,2
1167,11,1,3,3
1168,11,1,3,4
1169,11,1,3,5
1170,11,1,3,6
1171,11,1,3,7
1172,11,1,3,8
1173,11,1,3,9
1174,11,1,3,10
1175,11,1,3,11
1176,11,1,3,12
1177,11,1,4,1
1178,11,1,4,2
1179,11,1,4,3
1180,11,1,4,4
1181,11,1,4,5
1182,11,1,4,6
1183,11,1,4,7
1184,11,1,4,8
1185,11,1,4,9
1186,11,1,4,10
1187,11,1,4,11
1188,11,1,4,12
1189,12,2,0,1
1190,12,2,0,2
1191,12,2,0,3
1192,12,2,0,4
1193,12,2,0,5
1194,12,2,0,6
1195,12,2,0,7
1196,12,2,0,8
1197,12,2,0,9
1198,12,2,0,10
1199,12,2,0,11
1200,12,2,0,12
1201,12,2,2,1
1202,12,2,2,2
1203,12,2,2,3
1204,12,2,2,4
1205,12,2,2,5
1206,12,2,2,6
1207,12,2,2,7
1208,12,2,2,8
1209,12,2,2,9
1210,12,2,2,10
1211,12,2,2,11
1212,12,2,2,12
1213,12,2,2,13
1214,12,2,2,14
1215,12,2,2,15
1216,12,2,2,16
1217,12,2,2,17
1218,12,2,2,18
1219,12,2,2,19
1220,12,2,2,20
1221,12,2,2,21
1222,12,2,2,22
1223,12,2,2,23
1224,12,2,2,24
1225,12,2,2,25
1226,12,2,2,26
1227,12,2,2,27
1228,12,2,2,28
1229,12,2,2,29
1230,12,2,2,30
1231,12,2,2,31
1232,12,2,2,32
1233,12,2,2,33
1234,12,2,2,34
1235,12,2,2,35
1236,12,2,2,36
1237,12,2,2,37
1238,12,2,2,38
1239,12,2,2,39
1240,12,2,2,40
1241,12,2,2,41
1242,12,2,2,42
1243,12,2,2,43
1244,12,2,2,44
1245,12,2,2,45
1246,12,2,2,46
1247,12,2,2,47
1248,12,2,2,48
1249,12,2,2,49
1250,12,2,2,50
1251,12,2,2,51
1252,12,2,2,52
1253,12,2,2,53
1254,12,2,2,54
1255,12,2,2,55
1256,12,2,2,56
1257,12,2,2,57
1258,12,2,2,58
1259,12,2,2,59
1260,12,2,2,60
1261,12,2,2,61
1262,12,2,2,62
1263,12,2,2,63
1264,12,2,2,64
1265,12,2,2,65
1266,12,2,2,66
1267,12,2,2,67
1268,12,2,2,68
1269,12,2,2,69
1270,12,2,2,70
1271,12,2,2,71
1272,12,2,2,72
1273,12,2,3,1
1274,12,2,3,2
1275,12,2,3,3
1276,12,2,3,4
1277,12,2,3,5
1278,12,2,3,6
1279,12,2,3,7
1280,12,2,3,8
1281,12,2,3,9
1282,12,2,3,10
1283,12,2,3,11
1284,12,2,3,12
1285,12,2,4,1
1286,12,2,4,2
1287,12,2,4,3
1288,12,2,4,4
1289,12,2,4,5
1290,12,2,4,6
1291,12,2,4,7
1292,12,2,4,8
1293,12,2,4,9
1294,12,2,4,10
1295,12,2,4,11
1296,12,2,4,12
1297,13,1,1,1
1298,13,1,1,2
1299,13,1,1,3
1300,13,1,1,4
1301,13,1,1,5
1302,13,1,1,6
1303,13,1,1,7
1304,13,1,1,8
1305,13,1,1,9
1306,13,1,1,10
1307,13,1,1,11
1308,13,1,1,12
1309,13,1,2,1
1310,13,1,2,2
1311,13,1,2,3
1312,13,1,2,4
1313,13,1,2,5
1314,13,1,2,6
1315,13,1,2,7
1316,13,1,2,8
1317,13,1,2,9
1318,13,1,2,10
1319,13,1,2,11
1320,13,1,2,12
1321,13,1,2,13
1322,13,1,2,14
1323,13,1,2,15
1324,13,1,2,16
1325,13,1,2,17
1326,13,1,2,18
1327,13,1,2,19
1328,13,1,2,20
1329,13,1,2,21
1330,13,1,2,22
1331,13,1,2,23
1332,13,1,2,24
1333,13,1,2,25
1334,13,1,2,26
1335,13,1,2,27
1336,13,1,2,28
1337,13,1,2,29
1338,13,1,2,30
1339,13,1,2,31
1340,13,1,2,32
1341,13,1,2,33
1342,13,1,2,34
1343,13,1,2,35
1344,13,1,2,36
1345,13,1,2,37
1346,13,1,2,38
1347,13,1,2,39
1348,13,1,2,40
1349,13,1,2,41
1350,13,1,2,42
1351,13,1,2,43
